timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success
2048,86.43656733768285,1.0,9.483517,78.0,11.245378,-1.0,0.021978023,1.0,0.9997585,0.027683966,0.08274559,0.21871082,-0.01056578,1.604405,0.489011,0.510989
4096,7752.207764359969,1.0,11.711657,91.0,13.620052,-1.0,0.018404908,1.0,0.9998306,0.024772633,0.049231183,0.16757637,-0.01869488,1.5862135,0.49079755,0.5092025
6144,7852.0607401286325,1.0,12.513742,100.0,14.30668,-1.0,0.088794924,1.0,0.994988,0.08798867,0.049944595,0.18482168,-0.026704406,1.5761843,0.45665962,0.5433404
8192,7528.347284691134,1.0,12.559429,100.0,14.3025675,-1.0,0.09825674,1.0,0.99436456,0.10048635,0.03310496,0.15563606,-0.029283598,1.5429469,0.45166403,0.54833597
10240,7712.685976362547,1.0,11.998808,100.0,13.823465,-1.0,0.15375447,1.0,0.98690206,0.15188359,0.03112476,0.17189275,-0.039619308,1.5202308,0.42431465,0.5756853
12288,7674.648354583962,1.0,11.498092,100.0,13.150262,-1.0,0.20610687,1.0,0.9775539,0.2006383,0.032540943,0.1666231,-0.03602333,1.4747281,0.39790076,0.60209924
14336,7588.053531961054,1.0,11.448697,100.0,13.397572,-1.0,0.23289903,1.0,0.9708248,0.22509025,0.012672215,0.13778226,-0.04151839,1.4700519,0.38517916,0.61482084
16384,7545.812913364799,1.0,11.227682,100.0,13.48725,-1.0,0.2851211,1.0,0.95668477,0.27366108,0.013661715,0.1338221,-0.03915913,1.4090194,0.35916954,0.64083046
18432,7421.231615896935,1.0,11.132678,100.0,13.594861,-1.0,0.32309583,1.0,0.9444171,0.30974346,0.008538016,0.1220094,-0.038572438,1.389425,0.34029484,0.65970516
20480,7700.92446940316,1.0,10.883584,100.0,13.468803,-1.0,0.3696352,1.0,0.92715394,0.3539362,0.003973746,0.11331492,-0.039284267,1.3399459,0.31706008,0.6829399
22528,7465.39912552482,1.0,10.710449,100.0,13.555357,-1.0,0.4194336,1.0,0.90590143,0.4010352,-0.0068161595,0.10046587,-0.04428122,1.2767878,0.2919922,0.7080078
24576,7688.400444301635,1.0,10.075684,100.0,13.031387,-1.0,0.51708984,1.0,0.8539321,0.492338,-0.017109856,0.06978031,-0.039309774,1.2690235,0.24316406,0.75683594
26624,7610.973168235685,1.0,9.378418,100.0,12.693844,-1.0,0.6020508,1.0,0.7963145,0.57441527,-0.0034761508,0.088651605,-0.03560029,1.2201656,0.2006836,0.7993164
28672,7735.620409585758,1.0,8.897461,100.0,12.586041,-1.0,0.68115234,1.0,0.7298037,0.64947426,-0.019198304,0.058443677,-0.036435712,1.1984428,0.16113281,0.8388672
30720,7702.201906825064,1.0,8.722656,100.0,12.719757,-1.0,0.7319336,1.0,0.6788631,0.6987546,-0.024344949,0.052722253,-0.038936812,1.1769266,0.13574219,0.8642578
32768,7785.5615181869925,1.0,8.351074,100.0,12.600699,-1.0,0.78466797,1.0,0.6171533,0.74977064,-0.013406095,0.062007587,-0.03294403,1.1465858,0.109375,0.890625
34816,7507.181335204754,1.0,7.786621,100.0,11.91342,-1.0,0.8178711,1.0,0.57327604,0.7827091,-0.009115177,0.076756366,-0.03619573,1.1297635,0.092285156,0.90771484
36864,7649.661187781466,1.0,7.595215,100.0,12.096202,-1.0,0.84033203,1.0,0.5389101,0.8054373,-0.014165254,0.065957956,-0.03612561,1.1018623,0.08154297,0.91845703
38912,7671.289949283368,1.0,7.330078,100.0,11.947985,-1.0,0.85253906,1.0,0.5189132,0.81881666,-0.012376704,0.06458906,-0.03439771,1.0273532,0.075683594,0.9243164
40960,7675.155797914022,1.0,7.0786133,100.0,11.68947,-1.0,0.86328125,1.0,0.5008385,0.83024454,-0.01748016,0.05326436,-0.034145426,0.9966917,0.0703125,0.9296875
43008,7652.025790819281,1.0,6.9086914,100.0,11.533154,-1.0,0.8666992,1.0,0.49539328,0.83375186,-0.0051737996,0.07763835,-0.034269,0.97239715,0.068359375,0.9316406
45056,7674.607213470959,1.0,6.3691406,100.0,10.420198,-1.0,0.87402344,1.0,0.48386973,0.8418759,-0.014945554,0.056090392,-0.033816885,0.917386,0.063964844,0.93603516
47104,7640.659104817477,1.0,6.148926,100.0,10.25999,-1.0,0.88623047,1.0,0.4606019,0.8542177,-0.023992764,0.040126592,-0.035237502,0.88185567,0.05810547,0.94189453
49152,7672.441071363177,1.0,5.633301,100.0,9.061843,-1.0,0.9038086,1.0,0.42622197,0.87245846,-0.017065745,0.03215094,-0.024993336,0.81478816,0.048828125,0.9511719
51200,7619.493093174071,1.0,5.455078,100.0,8.439464,-1.0,0.91503906,1.0,0.4021529,0.8827621,-0.012161482,0.051367994,-0.029922834,0.7922644,0.04296875,0.95703125
53248,7836.187398511934,1.0,5.132324,100.0,7.546961,-1.0,0.92529297,1.0,0.37860882,0.89396197,-0.016685016,0.0344884,-0.025878772,0.805044,0.037597656,0.96240234
55296,7750.78080643022,1.0,4.739258,100.0,6.794082,-1.0,0.94189453,1.0,0.33518115,0.9124511,-0.0091014225,0.040552344,-0.022265116,0.7112479,0.029296875,0.9707031
57344,7698.294973306698,1.0,4.5942383,72.0,6.247961,-1.0,0.9472656,1.0,0.32044944,0.9178671,-0.012645763,0.03695558,-0.024014805,0.71087474,0.026367188,0.9736328
59392,7718.3548116087095,1.0,4.378418,72.0,6.062489,-1.0,0.9501953,1.0,0.31165504,0.92246157,-0.014575626,0.040382996,-0.027743557,0.70235604,0.024902344,0.97509766
61440,7709.197341697742,1.0,4.3535156,72.0,6.002525,-1.0,0.95996094,1.0,0.2801339,0.9320954,-0.014646147,0.034496307,-0.024536598,0.73577064,0.020019531,0.97998047
63488,7570.131849963956,1.0,4.359375,75.0,5.833526,-1.0,0.9580078,1.0,0.2867421,0.9302517,-0.020671967,0.024620501,-0.025572283,0.7409937,0.020996094,0.9790039
65536,7730.503586297015,1.0,4.288086,75.0,5.6125746,-1.0,0.96191406,1.0,0.27335203,0.93462324,-0.015003596,0.041821312,-0.02930962,0.6604635,0.019042969,0.98095703
67584,7760.086465547302,1.0,4.234375,75.0,5.3736143,-1.0,0.96875,1.0,0.24803919,0.94099826,-0.02406775,0.008564634,-0.02151644,0.6833629,0.015625,0.984375
69632,7801.527795992582,1.0,4.0927734,75.0,5.181679,-1.0,0.96875,1.0,0.24803919,0.94197226,-0.012275146,0.03292997,-0.022547059,0.6193071,0.015625,0.984375
71680,7603.986495075518,1.0,3.7817383,52.0,4.316203,-1.0,0.96875,1.0,0.24803919,0.94424707,-0.006573338,0.042524125,-0.02164928,0.6186118,0.015625,0.984375
73728,7771.1154684371795,1.0,3.7954102,52.0,4.5789127,-1.0,0.96777344,1.0,0.2518225,0.9433137,-0.015743315,0.03212528,-0.025784811,0.60211414,0.016113281,0.9838867
75776,7704.315787868704,1.0,3.5942383,68.0,4.3306804,-1.0,0.96875,1.0,0.24803919,0.94648397,-0.019787883,0.019808171,-0.02447453,0.52174383,0.015625,0.984375
77824,7826.883857817513,1.0,3.5263672,68.0,4.2479644,-1.0,0.96875,1.0,0.24803919,0.9469778,-0.008464995,0.0377141,-0.022165399,0.515665,0.015625,0.984375
79872,7672.379395351164,1.0,3.4248047,68.0,3.9155154,-1.0,0.96875,1.0,0.24803919,0.94763345,-0.008971934,0.02909391,-0.018788574,0.47303134,0.015625,0.984375
81920,7717.897114886131,1.0,3.333496,71.0,3.6873162,-1.0,0.96972656,1.0,0.24419336,0.9491674,-0.020576855,0.020143053,-0.025818257,0.4830124,0.015136719,0.9848633
83968,7757.682640630517,1.0,3.275879,71.0,3.698549,-1.0,0.9785156,1.0,0.20617267,0.95819885,-0.018902207,0.007309926,-0.018095015,0.44621545,0.0107421875,0.9892578
86016,7710.643634496551,1.0,3.290039,71.0,3.8352113,-1.0,0.9824219,1.0,0.1866742,0.9615176,-0.014450516,0.019056713,-0.01954374,0.44351307,0.0087890625,0.99121094
88064,7545.739999402661,1.0,3.2363281,71.0,4.0353427,-1.0,0.98535156,1.0,0.17053533,0.96533525,-0.01628702,0.014633752,-0.019776588,0.38273072,0.0073242188,0.9926758
90112,7768.135743553709,1.0,3.1816406,69.0,3.6633499,-1.0,0.9814453,1.0,0.19174227,0.9618101,-0.015720664,0.022991601,-0.02337747,0.38389906,0.009277344,0.99072266
92160,7767.405216589278,1.0,3.0429688,80.0,3.596074,-1.0,0.9863281,1.0,0.1647933,0.9678725,-0.011820986,0.007444368,-0.012011702,0.35314682,0.0068359375,0.99316406
94208,7729.237608831014,1.0,2.9941406,80.0,3.2350864,-1.0,0.984375,1.0,0.1760848,0.9660603,-0.010307287,0.019651016,-0.016171064,0.39617315,0.0078125,0.9921875
96256,7759.224281227503,1.0,3.0825195,99.0,3.9783995,-1.0,0.9863281,1.0,0.1647933,0.96688735,-0.015361336,0.012487839,-0.017664654,0.39405978,0.0068359375,0.99316406
98304,7783.029054748907,1.0,3.1328125,99.0,3.701897,-1.0,0.9824219,1.0,0.1866742,0.9624843,-0.006614337,0.010997327,-0.00887335,0.3239651,0.0087890625,0.99121094
100352,7695.681061313275,1.0,3.2456055,100.0,4.341246,-1.0,0.9770508,1.0,0.21185724,0.95705223,-0.002460065,0.035116564,-0.016230287,0.37880558,0.01171875,0.98828125
102400,7802.080502824756,1.0,3.0664062,100.0,3.722095,-1.0,0.97998047,1.0,0.1978636,0.9614414,-0.01041286,0.013287944,-0.013878564,0.31782648,0.010253906,0.9897461
104448,7750.689890641354,1.0,3.0180664,100.0,3.6349764,-1.0,0.9819336,1.0,0.1879312,0.9640304,-0.011684546,0.016652036,-0.016728474,0.32820898,0.009277344,0.99072266
106496,7768.149793495866,1.0,2.9399414,46.0,2.8069055,-1.0,0.99121094,1.0,0.13229088,0.9727764,-0.022945061,0.0019169668,-0.020915668,0.2987878,0.0043945312,0.99560547
108544,7706.776534974587,1.0,3.0180664,25.0,2.642458,-1.0,0.9892578,1.0,0.14618133,0.97001857,-0.012570756,0.011680504,-0.015605929,0.28050768,0.0053710938,0.9946289
110592,7671.680469842653,1.0,3.0185547,26.0,2.7454948,-1.0,0.98828125,1.0,0.15264393,0.96906567,-0.017204268,0.012772988,-0.020926194,0.26645657,0.005859375,0.9941406
112640,7749.165620506306,1.0,2.9311523,38.0,2.69143,-1.0,0.984375,1.0,0.1760848,0.96608657,-0.013328656,0.016312156,-0.018712882,0.2771853,0.0078125,0.9921875
114688,7691.539682468618,1.0,2.854004,38.0,2.6152487,-1.0,0.984375,1.0,0.1760848,0.9667237,-0.00883994,0.005458016,-0.009138026,0.24309218,0.0078125,0.9921875
116736,7732.417251253264,1.0,2.838379,38.0,2.5578756,-1.0,0.9873047,1.0,0.15883783,0.9696802,-0.015907401,0.005871964,-0.016276341,0.2567045,0.0063476562,0.99365234
118784,7729.585363527237,1.0,2.9077148,66.0,2.976434,-1.0,0.9892578,1.0,0.14618133,0.9710101,-0.01526774,0.009454414,-0.017382726,0.26122215,0.0053710938,0.9946289
120832,7558.88060133597,1.0,2.9643555,66.0,3.1236243,-1.0,0.98828125,1.0,0.15264393,0.9697906,-0.011757887,0.013254284,-0.015895309,0.24897178,0.005859375,0.9941406
122880,7672.2217833808945,1.0,2.9589844,37.0,2.8158448,-1.0,0.9873047,1.0,0.15883783,0.968899,-0.010362475,0.013340265,-0.014799944,0.22326656,0.0063476562,0.99365234
124928,7740.695182799846,1.0,2.8950195,40.0,2.644868,-1.0,0.9873047,1.0,0.15883783,0.9694276,-0.010312477,0.009833074,-0.013223323,0.2005692,0.0063476562,0.99365234
126976,7700.965893157474,1.0,2.8320312,40.0,2.3752282,-1.0,0.9892578,1.0,0.14618133,0.97170305,-0.008055913,0.008924544,-0.010492328,0.20258562,0.0053710938,0.9946289
129024,7696.591246068795,1.0,2.8164062,40.0,2.5112023,-1.0,0.98828125,1.0,0.15264393,0.9708353,-0.0113871945,0.009856813,-0.013958429,0.23571701,0.005859375,0.9941406
131072,7780.03314192555,1.0,2.8203125,38.0,2.3493552,-1.0,0.984375,1.0,0.1760848,0.9671478,-0.0114546735,0.020614235,-0.019732898,0.20288976,0.0078125,0.9921875
133120,7754.972240779728,1.0,2.8076172,38.0,2.4505062,-1.0,0.9873047,1.0,0.15883783,0.9701861,-0.011764723,0.008348793,-0.013876482,0.20626412,0.0063476562,0.99365234
135168,7680.824520883686,1.0,2.8549805,66.0,2.9758081,-1.0,0.98535156,1.0,0.17053533,0.96895814,-0.014616056,0.01951132,-0.021842908,0.252881,0.0073242188,0.9926758
137216,7591.4266529153865,1.0,2.8603516,66.0,3.0602717,-1.0,0.9892578,1.0,0.14618133,0.9725411,-0.013755256,0.0075192614,-0.015437126,0.20777623,0.0053710938,0.9946289
139264,7675.416402999064,1.0,2.8823242,66.0,3.023237,-1.0,0.99121094,1.0,0.13229088,0.9741354,-0.018308451,0.00057843205,-0.01641552,0.21821485,0.0043945312,0.99560547
141312,7793.692044294638,1.0,2.8779297,51.0,2.7833104,-1.0,0.9902344,1.0,0.13941264,0.9724865,-0.016394202,0.016000895,-0.022068067,0.23265839,0.0048828125,0.9951172
143360,7723.49028172522,1.0,2.8393555,51.0,2.7436137,-1.0,0.9892578,1.0,0.14618133,0.97185427,-0.01120251,0.008479662,-0.013364232,0.20781088,0.0053710938,0.9946289
145408,7659.3947266582845,1.0,2.8466797,41.0,2.5737042,-1.0,0.98828125,1.0,0.15264393,0.9707676,-0.018464807,0.0032320402,-0.01799578,0.20850468,0.005859375,0.9941406
147456,7615.487299149967,1.0,2.8427734,29.0,2.330522,-1.0,0.99121094,1.0,0.13229088,0.9732866,-0.014057263,0.0031228077,-0.013406592,0.22120717,0.0043945312,0.99560547
149504,7634.906982304479,1.0,2.9082031,38.0,2.531707,-1.0,0.98828125,1.0,0.15264393,0.9697659,-0.0098420475,0.00810743,-0.01172307,0.21726923,0.005859375,0.9941406
151552,7723.2611219403425,1.0,2.8588867,38.0,2.5021687,-1.0,0.9863281,1.0,0.1647933,0.96826345,-0.014149624,0.004556971,-0.014339851,0.20882583,0.0068359375,0.99316406
153600,7744.247298508297,1.0,2.9482422,71.0,3.016597,-1.0,0.98535156,1.0,0.17053533,0.9671302,-0.01873429,0.014200588,-0.023550112,0.22844727,0.0073242188,0.9926758
