timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success
2048,87.65399124518738,1.0,14.528,58.0,12.089385,-1.0,0.104,1.0,0.99457735,0.11389452,0.039352152,0.13512038,-0.012180016,1.602801,0.448,0.552
4096,7697.211950034947,1.0,16.020576,100.0,15.927678,-1.0,0.008230452,1.0,0.99790627,0.024006028,0.0393466,0.14391558,-0.016664298,1.5946888,0.4979424,0.5020576
6144,7937.070830811593,1.0,16.272472,100.0,15.49978,-1.0,0.098314606,1.0,0.9937431,0.09611506,0.008388855,0.10326302,-0.027487174,1.5755472,0.4522472,0.5477528
8192,8010.741929046108,1.0,16.67364,100.0,16.030117,-1.0,0.12133891,1.0,0.99050134,0.11644894,0.020577502,0.13773546,-0.03275733,1.5532899,0.44142258,0.5585774
10240,7758.292216178917,1.0,16.907251,100.0,16.319632,-1.0,0.16020235,1.0,0.98537433,0.15208516,0.0083547635,0.11468836,-0.03364984,1.5339578,0.42158517,0.57841486
12288,8097.01274700083,1.0,16.764458,100.0,16.073599,-1.0,0.17912553,1.0,0.9823916,0.16455775,-0.0037477799,0.09890061,-0.038200308,1.4997772,0.41184768,0.58815235
14336,8105.271761735277,1.0,17.01087,100.0,16.291462,-1.0,0.21135266,1.0,0.97555465,0.19080678,0.00506453,0.1263284,-0.043306943,1.479273,0.39613527,0.6038647
16384,7968.754259929941,1.0,16.750519,100.0,16.139662,-1.0,0.24948025,1.0,0.9662307,0.2242454,0.008164085,0.12580816,-0.04019254,1.4547452,0.3773389,0.6226611
18432,7599.620451362501,1.0,16.725925,100.0,16.200048,-1.0,0.27962962,1.0,0.95721036,0.25222632,-0.0038620406,0.10138448,-0.04033583,1.4218463,0.36296296,0.63703704
20480,8017.927617817296,1.0,16.511894,100.0,16.321085,-1.0,0.3297785,1.0,0.941012,0.29787615,-0.011125247,0.08483728,-0.039578915,1.3964971,0.33798194,0.66201806
22528,8033.682421158954,1.0,16.290936,100.0,16.532093,-1.0,0.35307017,1.0,0.93207425,0.32068005,-0.00043881434,0.10856668,-0.040875908,1.3846254,0.3267544,0.6732456
24576,8072.730870583459,1.0,16.09097,100.0,16.503138,-1.0,0.37250996,1.0,0.9248028,0.33892977,-0.0035944215,0.10562252,-0.042873245,1.3532432,0.31673306,0.68326694
26624,8047.3048274828325,1.0,16.038462,100.0,16.723503,-1.0,0.3894994,1.0,0.91704106,0.3551215,-0.009905289,0.09207179,-0.04261085,1.333033,0.30891332,0.6910867
28672,8089.280907362432,1.0,15.797666,100.0,16.8219,-1.0,0.42356864,1.0,0.90125006,0.38611615,-0.019488648,0.066498734,-0.039743997,1.2994019,0.29238465,0.7076153
30720,8027.676154162461,1.0,15.787611,100.0,17.175661,-1.0,0.4461218,1.0,0.8903069,0.40744272,-0.021414679,0.06656401,-0.04163416,1.3062526,0.28110358,0.7188964
32768,8094.090601737557,1.0,15.911133,100.0,17.576504,-1.0,0.4736328,1.0,0.8757185,0.43205196,-0.020997781,0.06484513,-0.04079857,1.2621778,0.26757812,0.7324219
34816,7864.188002215539,1.0,15.603027,100.0,17.691864,-1.0,0.5307617,1.0,0.84203,0.48378354,-0.012778741,0.082232475,-0.04129255,1.2602429,0.23925781,0.7607422
36864,7825.122745135906,1.0,15.1875,100.0,17.594028,-1.0,0.58935547,1.0,0.8021114,0.5384422,-0.02534316,0.05129195,-0.038732473,1.2256664,0.20996094,0.79003906
38912,7976.286933089678,1.0,14.364746,100.0,17.480885,-1.0,0.65234375,1.0,0.7514533,0.59820914,-0.019695072,0.05414508,-0.034580357,1.2187252,0.17871094,0.82128906
40960,7853.374455219426,1.0,13.382324,100.0,16.975851,-1.0,0.7167969,1.0,0.6902439,0.6614597,-0.022234509,0.05246398,-0.036722843,1.1743647,0.14648438,0.8535156
43008,7966.677510334037,1.0,12.722168,100.0,16.877935,-1.0,0.75439453,1.0,0.6493162,0.6990688,-0.021777347,0.05796626,-0.039195772,1.1564703,0.1274414,0.8725586
45056,7659.729394591423,1.0,12.126465,100.0,16.371246,-1.0,0.7841797,1.0,0.61420655,0.72777104,-0.02947338,0.03587406,-0.036407735,1.1002678,0.111816406,0.8881836
47104,8083.61722698763,1.0,11.36084,100.0,15.58793,-1.0,0.828125,1.0,0.55441236,0.76954114,-0.020119881,0.050858524,-0.034867175,1.0681971,0.08935547,0.91064453
49152,7933.735341873632,1.0,10.342773,100.0,14.591698,-1.0,0.86083984,1.0,0.5045396,0.80422086,-0.020115241,0.04516999,-0.032714885,0.9985353,0.071777344,0.92822266
51200,7987.063083401752,1.0,9.167969,100.0,12.508166,-1.0,0.8808594,1.0,0.4702734,0.82710576,-0.017562043,0.039762747,-0.027258305,1.0185108,0.061035156,0.93896484
53248,7744.449776545228,1.0,8.662109,100.0,11.716795,-1.0,0.9033203,1.0,0.42668405,0.8485777,-0.039062273,0.008734816,-0.03307781,1.0351871,0.049316406,0.9506836
55296,8062.380768775916,1.0,8.420898,100.0,11.409486,-1.0,0.91259766,1.0,0.40706348,0.8577006,-0.018413631,0.04939514,-0.033235002,0.9876196,0.044433594,0.9555664
57344,7912.337806893273,1.0,8.004395,100.0,10.639075,-1.0,0.9145508,1.0,0.40386704,0.8623866,-0.008556086,0.06926736,-0.033898767,0.9291005,0.04296875,0.95703125
59392,7837.796159176906,1.0,7.3134766,100.0,9.545603,-1.0,0.9213867,1.0,0.38801834,0.87267566,-0.027269423,0.025444089,-0.031197889,0.87935746,0.03955078,0.9604492
61440,7899.393325651521,1.0,6.8637695,100.0,9.029276,-1.0,0.93115234,1.0,0.3639602,0.8849931,-0.020648306,0.03949636,-0.03249079,0.79056996,0.03466797,0.96533203
63488,7908.833739212738,1.0,6.536133,98.0,8.429375,-1.0,0.93652344,1.0,0.35060498,0.89237845,-0.015002886,0.033005144,-0.02375921,0.7746253,0.03173828,0.9682617
65536,7980.117920842945,1.0,5.9125977,98.0,7.416572,-1.0,0.9394531,1.0,0.34267744,0.8994266,-0.018297395,0.018246906,-0.020351557,0.70692915,0.030273438,0.96972656
67584,7877.869705095801,1.0,5.446289,68.0,6.094555,-1.0,0.9501953,1.0,0.31165504,0.9120877,-0.012444022,0.031168792,-0.02121766,0.6810755,0.024902344,0.97509766
69632,7955.41837761945,1.0,5.121582,82.0,5.730296,-1.0,0.96484375,1.0,0.26282415,0.92855275,-0.018847156,0.021238022,-0.023299837,0.61663294,0.017578125,0.9824219
71680,7804.887761406671,1.0,4.9331055,82.0,5.348583,-1.0,0.9707031,1.0,0.24028201,0.9352058,-0.025929725,0.006294568,-0.023559166,0.551784,0.0146484375,0.98535156
73728,7968.140730124717,1.0,4.7314453,82.0,4.894607,-1.0,0.96972656,1.0,0.24419336,0.9361376,-0.011816451,0.029878346,-0.021073563,0.5682065,0.015136719,0.9848633
75776,7958.101151107797,1.0,4.605957,82.0,4.751902,-1.0,0.9746094,1.0,0.22391196,0.9417182,-0.019591713,0.014602922,-0.021725282,0.5167894,0.0126953125,0.9873047
77824,7790.087371165575,1.0,4.510254,82.0,4.805686,-1.0,0.9765625,1.0,0.21523403,0.944783,-0.016252209,0.014754738,-0.018519344,0.51102334,0.01171875,0.98828125
79872,7984.613089102082,1.0,4.388672,51.0,4.327793,-1.0,0.97753906,1.0,0.21075432,0.94686234,-0.023338528,0.011430607,-0.02428854,0.47652918,0.011230469,0.98876953
81920,7968.170295659401,1.0,4.2661133,51.0,3.9782102,-1.0,0.9765625,1.0,0.21523403,0.9469296,-0.012575664,0.015129867,-0.015818708,0.43218914,0.01171875,0.98828125
83968,7893.2161857189585,1.0,4.1796875,51.0,3.9161046,-1.0,0.9785156,1.0,0.20617267,0.94932735,-0.010229948,0.013472812,-0.012945878,0.4020474,0.0107421875,0.9892578
86016,8051.0383406674255,1.0,4.0043945,35.0,3.3995748,-1.0,0.9814453,1.0,0.19174227,0.9530504,-0.013117221,0.008627941,-0.014146768,0.3284424,0.009277344,0.99072266
88064,7942.714553863851,1.0,3.805664,33.0,2.9706125,-1.0,0.98535156,1.0,0.17053533,0.9583267,-0.012303162,0.0050117658,-0.011674907,0.31341383,0.0073242188,0.9926758
90112,7918.588721594497,1.0,3.8105469,57.0,3.183859,-1.0,0.9863281,1.0,0.1647933,0.9594998,-0.013155013,0.010311646,-0.0149457995,0.33650395,0.0068359375,0.99316406
92160,7860.086280430615,1.0,3.7646484,76.0,3.4016995,-1.0,0.98828125,1.0,0.15264393,0.962093,-0.013201061,0.013629295,-0.016624985,0.3390722,0.005859375,0.9941406
94208,7988.979580979945,1.0,3.8613281,76.0,3.6038322,-1.0,0.98828125,1.0,0.15264393,0.96160495,-0.016581088,0.01657649,-0.021354346,0.35149896,0.005859375,0.9941406
96256,8034.260998556815,1.0,3.8583984,76.0,3.6167023,-1.0,0.9873047,1.0,0.15883783,0.9606137,-0.023097832,0.001135682,-0.020433469,0.3232204,0.0063476562,0.99365234
98304,7889.20730955777,1.0,3.7822266,76.0,3.4223294,-1.0,0.9873047,1.0,0.15883783,0.9610137,-0.014629676,0.012618479,-0.017635304,0.33036038,0.0063476562,0.99365234
100352,8045.284895166986,1.0,3.7666016,42.0,3.1440384,-1.0,0.9863281,1.0,0.1647933,0.96040344,-0.0126892375,0.013080631,-0.016016975,0.32125825,0.0068359375,0.99316406
102400,7997.570537433384,1.0,3.6831055,35.0,2.980514,-1.0,0.9902344,1.0,0.13941264,0.96462196,-0.021501811,0.004077195,-0.020923633,0.26167777,0.0048828125,0.9951172
