timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success
2048,101.65675009155686,1.0,12.705882,100.0,13.894623,-1.0,0.007352941,1.0,0.9962896,0.021385893,0.06872665,0.18162212,-0.0060379766,1.6046431,0.5,0.5
4096,15035.479085821908,1.0,14.561798,100.0,15.7753105,-1.0,0.033707865,1.0,0.99567723,0.032490328,0.055064805,0.16214107,-0.01002306,1.5982655,0.4868914,0.5131086
6144,16971.9291085619,1.0,14.255422,100.0,14.297437,-1.0,-0.0072289156,1.0,0.99756134,-0.008727568,0.0672813,0.19661842,-0.015285263,1.5742657,0.5060241,0.4939759
8192,17563.31139845098,1.0,14.703297,100.0,14.820411,-1.0,-0.02014652,1.0,0.99704546,-0.015975667,0.051075518,0.16521648,-0.01601271,1.5520004,0.51282054,0.4871795
10240,16724.364395328823,1.0,14.788922,100.0,15.081279,-1.0,-0.053892214,1.0,0.9955439,-0.047685932,0.039569777,0.13863936,-0.01410076,1.5649155,0.5299401,0.47005987
12288,16145.947302534876,1.0,14.952619,100.0,15.320849,-1.0,-0.03241895,1.0,0.9969762,-0.030233838,0.046126407,0.16392872,-0.020417504,1.542045,0.5187032,0.48129675
14336,16537.86910533105,1.0,15.185345,100.0,15.700734,-1.0,-0.032327585,1.0,0.99731874,-0.03412727,0.044578917,0.15803985,-0.019126235,1.5314778,0.51831895,0.48168105
16384,16627.374774977063,1.0,15.331754,100.0,15.568163,-1.0,-0.021800948,1.0,0.9978643,-0.023823509,0.048949413,0.16574475,-0.018433904,1.5489019,0.5127962,0.48720378
18432,16930.78349718935,1.0,15.555176,100.0,15.689204,-1.0,-0.04704876,1.0,0.99717844,-0.045642864,0.04046985,0.14757867,-0.017931424,1.5388055,0.52523524,0.47476476
20480,16993.182085607517,1.0,15.378891,100.0,15.625067,-1.0,-0.044798784,1.0,0.9974748,-0.042351924,0.05675097,0.18020414,-0.018047139,1.5303954,0.523918,0.476082
22528,17750.952838727542,1.0,15.443055,100.0,15.680919,-1.0,-0.034722224,1.0,0.99800634,-0.034550253,0.042477224,0.15248421,-0.018577281,1.5187594,0.51875,0.48125
24576,17379.630658792157,1.0,15.270625,100.0,15.605284,-1.0,-0.02375,1.0,0.9984668,-0.024597395,0.060405344,0.19071822,-0.019892514,1.5061251,0.513125,0.486875
26624,16108.402671877402,1.0,14.942373,100.0,15.511215,-1.0,-0.013559322,1.0,0.99877745,-0.014509414,0.0553463,0.17393859,-0.016845865,1.4777114,0.5079096,0.4920904
28672,16515.071496000015,1.0,14.790104,100.0,15.427999,-1.0,-0.01875,1.0,0.99878174,-0.019484414,0.048312902,0.16991149,-0.021890605,1.4752231,0.5104167,0.48958334
30720,15915.656737988127,1.0,14.893066,100.0,15.603228,-1.0,-0.018554688,1.0,0.99836165,-0.018856566,0.043973234,0.15363157,-0.018239614,1.460294,0.5107422,0.4892578
32768,15245.382587475264,1.0,15.104004,100.0,15.971698,-1.0,-0.020996094,1.0,0.9980687,-0.022437532,0.04217368,0.15849261,-0.022716042,1.4356581,0.51220703,0.48779297
34816,16970.487311550096,1.0,15.0234375,100.0,15.855931,-1.0,-0.015136719,1.0,0.9981747,-0.016039982,0.04645438,0.15603973,-0.017515605,1.4049884,0.50927734,0.49072266
36864,16393.036230985173,1.0,15.126953,100.0,16.216867,-1.0,-0.0087890625,1.0,0.9980063,-0.008649591,0.04070496,0.14261357,-0.016347084,1.4254743,0.50634766,0.49365234
38912,17715.25976460592,1.0,15.358887,100.0,16.510727,-1.0,-0.00390625,1.0,0.99803734,-0.0056584775,0.033168953,0.13104334,-0.01822738,1.4125344,0.50390625,0.49609375
40960,16756.72828143715,1.0,15.604004,100.0,17.012173,-1.0,0.0014648438,1.0,0.9973097,-0.0012893258,0.045567587,0.15856962,-0.0197004,1.401682,0.5019531,0.49804688
43008,16884.325942698997,1.0,15.618164,100.0,17.109074,-1.0,0.012207031,1.0,0.9972361,0.007512376,0.039547358,0.13989392,-0.01661606,1.378352,0.49658203,0.50341797
45056,17756.493555728735,1.0,15.938477,100.0,17.742878,-1.0,0.0048828125,1.0,0.9965642,0.0019097412,0.017468428,0.10113096,-0.019354558,1.3742504,0.50097656,0.49902344
47104,17294.392652142487,1.0,15.986816,100.0,17.813112,-1.0,0.009277344,1.0,0.9962879,0.006449493,0.042920243,0.14461331,-0.015935065,1.3451359,0.49902344,0.50097656
49152,17175.231871394724,1.0,16.200684,100.0,18.272894,-1.0,0.00390625,1.0,0.9955881,0.0024333023,0.028222932,0.118863545,-0.01800923,1.3199617,0.5024414,0.4975586
51200,16139.697931697932,1.0,16.253418,100.0,18.356625,-1.0,0.015625,1.0,0.99547315,0.013965256,0.034399122,0.1323937,-0.018454853,1.3342878,0.49658203,0.50341797
53248,16363.930863294414,1.0,16.430664,100.0,18.715622,-1.0,0.019042969,1.0,0.9946775,0.015209643,0.03448746,0.13219878,-0.018364122,1.3247795,0.49560547,0.50439453
55296,15939.194186881516,1.0,16.466309,100.0,18.81452,-1.0,0.023925781,1.0,0.99457204,0.019392751,0.054110993,0.16502008,-0.015089466,1.3309569,0.49316406,0.50683594
57344,15506.668625925398,1.0,16.46289,100.0,18.77271,-1.0,0.028320312,1.0,0.99421114,0.024823043,0.05507495,0.16853727,-0.015767787,1.3425899,0.49121094,0.50878906
59392,16491.355108231342,1.0,16.816895,100.0,18.904654,-1.0,0.01953125,1.0,0.9944226,0.017020565,0.05057446,0.15663446,-0.014566747,1.317604,0.49560547,0.50439453
61440,17470.188781165405,1.0,17.046875,100.0,18.94185,-1.0,0.008300781,1.0,0.9943342,0.0069276956,0.05126443,0.15853827,-0.0148274,1.3177302,0.50146484,0.49853516
63488,17769.93773647747,1.0,17.35254,100.0,19.149208,-1.0,0.013183594,1.0,0.99379027,0.011095825,0.041931864,0.14757079,-0.018707417,1.3146113,0.49951172,0.5004883
65536,16766.900426495416,1.0,17.13086,100.0,18.888641,-1.0,0.020019531,1.0,0.9941673,0.017170701,0.06307479,0.1854374,-0.016566312,1.3077589,0.49560547,0.50439453
67584,17230.008508760493,1.0,17.208984,100.0,18.951992,-1.0,0.025878906,1.0,0.994032,0.023010843,0.05009489,0.16461691,-0.019102385,1.3111178,0.49267578,0.5073242
69632,16306.369578423035,1.0,17.067871,100.0,18.705696,-1.0,0.0053710938,1.0,0.9948453,0.0037447086,0.06411819,0.18528356,-0.015430528,1.309306,0.5024414,0.4975586
71680,16563.667621157692,1.0,16.953613,100.0,18.565767,-1.0,0.017578125,1.0,0.99494994,0.0139842,0.05121773,0.16448684,-0.018238205,1.2787492,0.49609375,0.50390625
73728,17598.610522779003,1.0,16.708496,100.0,18.204847,-1.0,0.008300781,1.0,0.99531585,0.008031409,0.046613034,0.15529864,-0.018346785,1.2689496,0.5004883,0.49951172
75776,17709.525677976933,1.0,16.683594,100.0,18.126387,-1.0,0.026367188,1.0,0.9957371,0.025439283,0.06025916,0.17520668,-0.014721343,1.2622836,0.49072266,0.50927734
77824,17745.745517047613,1.0,16.336914,100.0,17.510563,-1.0,0.03125,1.0,0.99608606,0.029574517,0.052838326,0.16139996,-0.015281024,1.258062,0.48779297,0.51220703
79872,16490.75357366374,1.0,16.003418,100.0,16.87154,-1.0,0.024414062,1.0,0.9972568,0.024820283,0.06424153,0.18415958,-0.015462502,1.2375748,0.49023438,0.5097656
81920,15924.242650970942,1.0,15.516602,100.0,16.279562,-1.0,0.022460938,1.0,0.9977922,0.023008795,0.05750311,0.17339908,-0.01690275,1.2293681,0.49072266,0.50927734
83968,15408.203167405392,1.0,15.39209,100.0,16.13354,-1.0,0.034179688,1.0,0.9969699,0.03359595,0.05428067,0.16216229,-0.014601807,1.2198663,0.48535156,0.51464844
86016,17119.301096719806,1.0,15.3828125,100.0,16.031063,-1.0,0.032226562,1.0,0.9970349,0.032671787,0.058467593,0.1722068,-0.015444167,1.219165,0.48632812,0.5136719
88064,16157.45758305918,1.0,15.383301,100.0,16.206223,-1.0,0.0234375,1.0,0.9967905,0.023983909,0.046114486,0.14969005,-0.016574822,1.2155722,0.49121094,0.50878906
90112,15866.67933547846,1.0,15.108887,100.0,16.087358,-1.0,0.030273438,1.0,0.9961162,0.030734275,0.059300452,0.1752942,-0.016587045,1.1759626,0.48828125,0.51171875
92160,16726.285766581834,1.0,14.903809,100.0,16.037615,-1.0,0.037109375,1.0,0.995885,0.035794336,0.059668597,0.1709926,-0.014244205,1.1583488,0.48486328,0.5151367
94208,16898.24306507742,1.0,14.606445,100.0,15.643533,-1.0,0.04296875,1.0,0.9961397,0.042270944,0.07160546,0.19751339,-0.016046526,1.1104707,0.4814453,0.5185547
96256,15725.107993321812,1.0,14.737793,100.0,15.88518,-1.0,0.038085938,1.0,0.9958481,0.038387325,0.05041147,0.15337007,-0.015023318,1.1250244,0.484375,0.515625
98304,17330.610837060754,1.0,14.493652,100.0,15.933148,-1.0,0.033691406,1.0,0.9952708,0.03519445,0.06248963,0.17687462,-0.014546737,1.1400958,0.4873047,0.5126953
100352,16850.54218748774,1.0,14.57666,100.0,15.943196,-1.0,0.040039062,1.0,0.9947903,0.042727094,0.05322176,0.15592708,-0.013598544,1.114324,0.484375,0.515625
102400,16144.85483052472,1.0,14.501465,100.0,16.141344,-1.0,0.037109375,1.0,0.994413,0.039009564,0.062217355,0.17338108,-0.013325522,1.1147652,0.48632812,0.5136719
104448,17758.76955391864,1.0,14.515625,100.0,15.904552,-1.0,0.043945312,1.0,0.99413437,0.04463601,0.066902936,0.17587963,-0.010144838,1.0892018,0.48291016,0.51708984
106496,17744.20590872096,1.0,14.583496,100.0,15.936669,-1.0,0.036621094,1.0,0.9941855,0.038555533,0.054050814,0.15383518,-0.012174829,1.0691937,0.4868164,0.5131836
108544,16595.091354838212,1.0,14.572754,100.0,16.099411,-1.0,0.026367188,1.0,0.99377364,0.029696083,0.07295449,0.19111344,-0.012250416,1.0351806,0.49267578,0.5073242
110592,15535.498780119475,1.0,14.760254,100.0,16.486105,-1.0,0.037109375,1.0,0.99244696,0.038092546,0.054910567,0.14962399,-0.009034731,1.0866699,0.48828125,0.51171875
112640,16816.72874351259,1.0,14.833008,100.0,16.479788,-1.0,0.041503906,1.0,0.9925189,0.0431751,0.050581258,0.14829779,-0.012678139,1.0889491,0.48583984,0.51416016
114688,15455.109836469659,1.0,15.019531,100.0,16.729746,-1.0,0.04296875,1.0,0.99221057,0.04429014,0.04299945,0.1292052,-0.010672308,1.0930845,0.48535156,0.51464844
116736,16981.726400360592,1.0,15.06543,100.0,16.910946,-1.0,0.044921875,1.0,0.9916318,0.045240946,0.06151433,0.16115162,-0.008452673,1.0608811,0.48486328,0.5151367
118784,16030.094617467525,1.0,14.986816,100.0,16.636929,-1.0,0.045410156,1.0,0.9918557,0.047281742,0.053325593,0.15054981,-0.011254748,1.0694561,0.484375,0.515625
120832,17410.382650289837,1.0,15.089844,100.0,16.768581,-1.0,0.05419922,1.0,0.99190664,0.05449619,0.049989663,0.15101774,-0.014537118,1.0982088,0.4794922,0.5205078
122880,16202.074017069835,1.0,15.291016,100.0,17.244347,-1.0,0.059570312,1.0,0.9908597,0.05972401,0.0511577,0.15783732,-0.016974052,1.0786899,0.47753906,0.52246094
124928,15087.344961859815,1.0,15.550293,100.0,17.446077,-1.0,0.060546875,1.0,0.99030757,0.05972781,0.030722568,0.10737508,-0.012117432,1.0847534,0.47753906,0.52246094
126976,16697.2842739153,1.0,15.79834,100.0,17.890205,-1.0,0.055664062,1.0,0.9896077,0.054237634,0.055923946,0.160663,-0.013340749,1.1066817,0.48095703,0.51904297
129024,16861.12644959682,1.0,15.9296875,100.0,17.871555,-1.0,0.061035156,1.0,0.98953766,0.057759933,0.04385462,0.13714343,-0.013431045,1.1286052,0.47802734,0.52197266
131072,15841.602304518856,1.0,16.063965,100.0,17.863997,-1.0,0.061523438,1.0,0.98975414,0.058165923,0.041683342,0.1341457,-0.014308825,1.1080694,0.47753906,0.52246094
133120,15994.69432398161,1.0,16.427734,100.0,18.317102,-1.0,0.056640625,1.0,0.98905873,0.0539848,0.033879194,0.12189715,-0.016102804,1.0966578,0.48095703,0.51904297
135168,16741.052710356144,1.0,16.666992,100.0,18.448023,-1.0,0.053222656,1.0,0.9894952,0.051030602,0.03882563,0.12586108,-0.012942468,1.1162437,0.48242188,0.5175781
137216,16936.3582254347,1.0,16.930176,100.0,18.64147,-1.0,0.057617188,1.0,0.98850846,0.05521106,0.0379931,0.12103739,-0.011658495,1.0867099,0.48095703,0.51904297
139264,15198.85095104128,1.0,17.075684,100.0,19.065128,-1.0,0.04638672,1.0,0.98835826,0.046714082,0.036415834,0.12236215,-0.013661422,1.1103818,0.4873047,0.5126953
141312,16868.642725710637,1.0,17.159668,100.0,19.257034,-1.0,0.048828125,1.0,0.9874993,0.04943415,0.04731987,0.14818351,-0.015854297,1.0917591,0.4868164,0.5131836
143360,15500.372791315394,1.0,17.275879,100.0,19.243622,-1.0,0.06347656,1.0,0.98716074,0.06240109,0.04704398,0.143585,-0.013972498,1.0776029,0.4790039,0.5209961
145408,16753.329417042107,1.0,17.30957,100.0,19.328772,-1.0,0.06591797,1.0,0.987248,0.06504379,0.050261796,0.15158266,-0.014581168,1.0948375,0.47753906,0.52246094
147456,15293.071228155133,1.0,17.1792,100.0,19.155197,-1.0,0.06298828,1.0,0.98793364,0.061251856,0.055637777,0.1641739,-0.015647527,1.0801635,0.47851562,0.5214844
149504,17065.12329496466,1.0,16.74414,100.0,18.616608,-1.0,0.052246094,1.0,0.98954725,0.0527974,0.07596757,0.19852899,-0.0131710945,1.0125824,0.48291016,0.51708984
151552,16986.259794858208,1.0,16.623047,100.0,18.558357,-1.0,0.06298828,1.0,0.9889216,0.061853044,0.051090654,0.14822447,-0.0125404745,1.0481108,0.47753906,0.52246094
153600,16970.453784301717,1.0,16.853027,100.0,18.604706,-1.0,0.060546875,1.0,0.98932093,0.059629522,0.045456473,0.13824357,-0.013628567,1.0036749,0.47851562,0.5214844
155648,16850.409968299802,1.0,16.628906,100.0,18.101385,-1.0,0.048339844,1.0,0.99073195,0.04776544,0.06476562,0.17312558,-0.011839157,0.9958006,0.48388672,0.5161133
157696,16580.19663220636,1.0,16.550781,100.0,17.97797,-1.0,0.041015625,1.0,0.99130857,0.042573452,0.05680356,0.1673342,-0.01651,1.0353544,0.4873047,0.5126953
159744,17105.86919386733,1.0,16.388184,100.0,17.69973,-1.0,0.045410156,1.0,0.9918557,0.04688651,0.037913397,0.12515579,-0.01398126,1.0683243,0.484375,0.515625
161792,16024.054157611483,1.0,16.316406,100.0,17.695988,-1.0,0.05517578,1.0,0.99136037,0.054357734,0.05972385,0.16537505,-0.012190533,1.0773138,0.4794922,0.5205078
163840,17271.09510836237,1.0,16.108398,100.0,17.32527,-1.0,0.061035156,1.0,0.99150944,0.058567397,0.05617987,0.15920274,-0.012349635,1.1071866,0.47607422,0.5239258
165888,16718.37515618857,1.0,15.739746,100.0,16.767921,-1.0,0.05859375,1.0,0.992887,0.055782426,0.05535202,0.16472879,-0.01573472,1.1277641,0.47607422,0.5239258
167936,17140.275148407178,1.0,15.415527,100.0,16.229607,-1.0,0.059570312,1.0,0.9933206,0.05620271,0.054851543,0.15891948,-0.013387901,1.1220297,0.47509766,0.52490234
169984,16805.213748686776,1.0,15.053223,100.0,15.633642,-1.0,0.06982422,1.0,0.9938814,0.061902262,0.050306585,0.15820551,-0.017136035,1.1660136,0.46875,0.53125
172032,16927.780674199817,1.0,14.781738,100.0,15.325624,-1.0,0.055664062,1.0,0.995511,0.049852304,0.066807665,0.18307453,-0.013287063,1.1442541,0.47509766,0.52490234
174080,17204.47157835705,1.0,14.692383,100.0,15.128006,-1.0,0.052246094,1.0,0.99594134,0.046879806,0.0469384,0.13963455,-0.011520295,1.1358583,0.4765625,0.5234375
176128,17050.185473290156,1.0,14.827148,100.0,15.39101,-1.0,0.049804688,1.0,0.99533087,0.043914784,0.04324169,0.14212896,-0.016272206,1.1550602,0.47851562,0.5214844
178176,17494.77513645621,1.0,14.950195,100.0,15.298987,-1.0,0.06542969,1.0,0.99491686,0.057671122,0.039645758,0.14266147,-0.020176731,1.1508235,0.47021484,0.52978516
180224,15693.763904798967,1.0,15.206543,100.0,15.793553,-1.0,0.07470703,1.0,0.9935263,0.066592306,0.030834332,0.11505341,-0.01538485,1.1307518,0.4663086,0.5336914
182272,16880.045810317148,1.0,15.366699,100.0,16.088373,-1.0,0.076171875,1.0,0.99366087,0.06770149,0.04108667,0.13596974,-0.015372909,1.1525286,0.46533203,0.53466797
184320,17535.667885394658,1.0,15.464355,100.0,15.979684,-1.0,0.076171875,1.0,0.9941521,0.066834,0.04569102,0.15063836,-0.01822833,1.1399823,0.46484375,0.53515625
186368,16320.590114472996,1.0,15.47998,100.0,16.12308,-1.0,0.08642578,1.0,0.9930674,0.07708404,0.04078504,0.1373369,-0.016467072,1.1416328,0.45996094,0.54003906
188416,15675.234750745447,1.0,15.606445,100.0,16.350542,-1.0,0.096191406,1.0,0.9916768,0.08588888,0.032287143,0.11681595,-0.014554751,1.1566079,0.4555664,0.5444336
190464,15980.322272906544,1.0,15.706055,100.0,16.48231,-1.0,0.099609375,1.0,0.9906003,0.089257315,0.045345962,0.14553553,-0.015942564,1.1479236,0.45458984,0.54541016
192512,16364.71023764255,1.0,15.845703,100.0,16.583878,-1.0,0.10058594,1.0,0.99099445,0.0893766,0.021467192,0.09594058,-0.01517077,1.1332322,0.45361328,0.5463867
194560,17344.117981282747,1.0,15.986328,100.0,16.727621,-1.0,0.09472656,1.0,0.99157166,0.084798604,0.043460585,0.14087799,-0.015782531,1.1195878,0.45654297,0.54345703
196608,17547.775852524017,1.0,16.238281,100.0,16.994566,-1.0,0.091796875,1.0,0.99135476,0.08084474,0.02851961,0.11398553,-0.017246878,1.1226268,0.4584961,0.5415039
198656,15759.121357166052,1.0,16.584473,100.0,17.532524,-1.0,0.08935547,1.0,0.9908388,0.07921153,0.027396912,0.10489768,-0.0140073765,1.1044554,0.46044922,0.5395508
200704,17592.41122727971,1.0,16.855469,100.0,17.96026,-1.0,0.091308594,1.0,0.99016774,0.08049273,0.026523635,0.10710015,-0.015839247,1.1187191,0.45996094,0.54003906
202752,16224.29089865124,1.0,17.015625,100.0,18.168205,-1.0,0.08251953,1.0,0.9909389,0.073052794,0.03813537,0.1242582,-0.012819807,1.1173921,0.46435547,0.53564453
204800,17668.727537507766,1.0,17.402344,100.0,18.665834,-1.0,0.087402344,1.0,0.9895338,0.077941276,0.02457062,0.10065428,-0.014734504,1.102202,0.46289062,0.5371094
206848,17595.366160514386,1.0,17.600098,100.0,18.947884,-1.0,0.08203125,1.0,0.9897469,0.074589856,0.038494863,0.13187371,-0.015949635,1.1492362,0.4658203,0.5341797
208896,17741.420629773595,1.0,17.950195,100.0,19.49871,-1.0,0.084472656,1.0,0.98880106,0.0754213,0.022493862,0.10029497,-0.016653258,1.1000367,0.46533203,0.53466797
210944,17724.873597371996,1.0,18.132812,100.0,19.865685,-1.0,0.091308594,1.0,0.98769903,0.081685945,0.03979598,0.12920497,-0.013472629,1.1333884,0.46240234,0.53759766
212992,17001.725108315073,1.0,18.216309,100.0,19.936634,-1.0,0.08203125,1.0,0.98875976,0.07390939,0.03479735,0.121992745,-0.015375966,1.0823065,0.46679688,0.5332031
215040,16718.049776961223,1.0,18.356934,100.0,20.030739,-1.0,0.08544922,1.0,0.9882232,0.07664873,0.0311629,0.11227769,-0.014003336,1.0972608,0.46533203,0.53466797
217088,16992.140021047468,1.0,18.67334,100.0,20.323608,-1.0,0.06640625,1.0,0.98943853,0.059210666,0.024482414,0.10011164,-0.014579383,1.0994021,0.47509766,0.52490234
219136,16388.376168563078,1.0,18.929688,100.0,20.438667,-1.0,0.057617188,1.0,0.9899892,0.051515475,0.025563184,0.114339165,-0.020697556,1.0908831,0.4794922,0.5205078
221184,16980.316504439823,1.0,19.12793,100.0,20.566828,-1.0,0.047851562,1.0,0.9900162,0.04284439,0.04110751,0.13318896,-0.014216201,1.1270771,0.48486328,0.5151367
223232,17457.79731729128,1.0,19.225098,100.0,20.842127,-1.0,0.041992188,1.0,0.9892954,0.037698925,0.031096494,0.11858197,-0.016770082,1.1424414,0.48876953,0.51123047
