timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success
2048,99.62000179363758,1.0,10.591954,100.0,13.983576,-1.0,-0.06321839,1.0,0.9951162,-0.064442396,0.07651201,0.1916258,-0.0032195908,1.6081295,0.5344828,0.46551725
4096,17339.77660384062,1.0,10.94429,100.0,13.89985,-1.0,-0.11699165,1.0,0.9917295,-0.11790582,0.067110434,0.18881871,-0.011307965,1.5990947,0.5598886,0.44011143
6144,17327.21986170393,1.0,11.705304,100.0,14.217908,-1.0,-0.1021611,1.0,0.99377984,-0.096749626,0.05913318,0.17702554,-0.013488347,1.5891265,0.55206287,0.44793713
8192,16976.52437503582,1.0,11.845113,100.0,14.019806,-1.0,-0.05112782,1.0,0.99793893,-0.04704443,0.059194207,0.18476026,-0.017454205,1.5731725,0.5263158,0.47368422
10240,17153.110331882264,1.0,12.300366,100.0,14.2403965,-1.0,-0.02930403,1.0,0.9989596,-0.02623023,0.061223872,0.18690418,-0.016637258,1.5590962,0.51526254,0.4847375
12288,16926.813324794326,1.0,12.405181,100.0,14.288535,-1.0,-0.002072539,1.0,0.9994796,-0.003215865,0.04863235,0.1671209,-0.019492557,1.5435543,0.5015544,0.4984456
14336,16341.9519402173,1.0,12.7859745,100.0,14.770087,-1.0,0.0054644807,1.0,0.99907386,0.003767406,0.04450864,0.1549692,-0.017601434,1.5374525,0.4981785,0.5018215
16384,16776.921093183908,1.0,12.838787,100.0,14.888719,-1.0,0.0015961692,1.0,0.9988009,-0.001538148,0.05333363,0.17599595,-0.019462703,1.520164,0.50039905,0.49960095
18432,16199.507395442604,1.0,13.064609,100.0,15.320603,-1.0,0.014357502,1.0,0.99881935,0.00898077,0.04620991,0.1583438,-0.017989699,1.4972289,0.49389806,0.50610197
20480,17580.925250821747,1.0,13.23329,100.0,15.5235195,-1.0,0.03211009,1.0,0.9985004,0.0261548,0.0448187,0.15400077,-0.017268414,1.4913261,0.48492792,0.5150721
22528,17073.94244507078,1.0,13.42345,100.0,15.834347,-1.0,0.023693804,1.0,0.9981988,0.017801633,0.042632516,0.14714074,-0.016191332,1.4746535,0.48967195,0.51032805
24576,16134.908002148833,1.0,13.805698,100.0,16.336538,-1.0,0.035897437,1.0,0.9976436,0.028353468,0.03560881,0.13297483,-0.01631496,1.456364,0.48376068,0.51623935
26624,17433.491620089055,1.0,14.010655,100.0,16.784061,-1.0,0.040490143,1.0,0.99731195,0.033257872,0.033087995,0.13059981,-0.017844291,1.4367622,0.4816196,0.5183804
28672,15355.127278707514,1.0,14.278894,100.0,17.367767,-1.0,0.04673367,1.0,0.99613667,0.038002815,0.029178673,0.118988894,-0.016161289,1.4154489,0.479397,0.520603
30720,16942.337610698014,1.0,14.624512,100.0,18.079851,-1.0,0.051757812,1.0,0.9947405,0.043737132,0.028147805,0.11333527,-0.014592168,1.3927655,0.47802734,0.52197266
32768,15537.409613732352,1.0,14.933105,100.0,18.44589,-1.0,0.05126953,1.0,0.99452025,0.04415819,0.034744374,0.13361949,-0.018212637,1.3852733,0.47851562,0.5214844
34816,17455.952529201855,1.0,15.206543,100.0,18.905806,-1.0,0.060058594,1.0,0.9930453,0.05308555,0.014610248,0.10160388,-0.022668801,1.352289,0.47509766,0.52490234
36864,17684.186823842334,1.0,15.840332,100.0,20.131535,-1.0,0.072753906,1.0,0.98923886,0.064199604,-0.0005685691,0.056788083,-0.015543175,1.3419436,0.4716797,0.5283203
38912,17633.653626422354,1.0,16.367188,100.0,20.900057,-1.0,0.079589844,1.0,0.98722965,0.06800633,0.016242633,0.095582984,-0.018326743,1.3222132,0.46972656,0.53027344
40960,16389.37676392249,1.0,16.78125,100.0,21.603584,-1.0,0.076660156,1.0,0.9859769,0.064487845,0.02166772,0.10086012,-0.015821276,1.2941055,0.47265625,0.52734375
43008,15042.114023244534,1.0,17.240234,100.0,22.303106,-1.0,0.080078125,1.0,0.9839699,0.06740506,0.0074762837,0.07562285,-0.017420294,1.2914846,0.47265625,0.52734375
45056,16514.309483207762,1.0,17.770996,100.0,23.14568,-1.0,0.07128906,1.0,0.98216313,0.058470722,0.022207772,0.0982175,-0.014109449,1.2791528,0.4794922,0.5205078
47104,16875.966774327902,1.0,18.12207,100.0,23.650547,-1.0,0.07910156,1.0,0.9805694,0.064114705,0.013934272,0.0928152,-0.019286579,1.3186746,0.4765625,0.5234375
49152,16600.703828820122,1.0,18.554688,100.0,24.190807,-1.0,0.068847656,1.0,0.9800979,0.055771906,0.014399449,0.09394443,-0.019309258,1.3263509,0.48291016,0.51708984
51200,15096.651983493733,1.0,18.949707,100.0,24.632433,-1.0,0.06689453,1.0,0.97923636,0.053525142,0.02275886,0.109674454,-0.019192597,1.2885774,0.48486328,0.5151367
53248,17123.327955092285,1.0,19.388184,100.0,24.967073,-1.0,0.060546875,1.0,0.9789015,0.04796221,0.020893585,0.105395734,-0.018677527,1.3126754,0.48876953,0.51123047
55296,16445.82617835529,1.0,19.834473,100.0,25.700089,-1.0,0.064941406,1.0,0.9758716,0.052087024,0.0050084647,0.064277865,-0.014011594,1.3118874,0.4892578,0.5107422
57344,15512.801485195005,1.0,20.413086,100.0,26.041758,-1.0,0.07421875,1.0,0.9739575,0.060295396,0.021912118,0.10446649,-0.017413713,1.2907413,0.48583984,0.51416016
59392,17573.551893518605,1.0,20.850098,100.0,26.534185,-1.0,0.08154297,1.0,0.97161424,0.069227695,0.02378517,0.09854308,-0.012409144,1.3077229,0.48388672,0.5161133
61440,16194.590309566005,1.0,21.20166,100.0,26.651705,-1.0,0.08154297,1.0,0.97161424,0.06984414,0.016989166,0.09642544,-0.018101523,1.312203,0.48388672,0.5161133
63488,17196.7219715321,1.0,21.513184,100.0,27.060675,-1.0,0.080566406,1.0,0.9696836,0.06806805,0.018367656,0.09141102,-0.014269478,1.3068374,0.48632812,0.5136719
65536,17517.93020101927,1.0,22.057129,100.0,27.4623,-1.0,0.06933594,1.0,0.96929276,0.057387315,0.017240515,0.09535853,-0.017461138,1.297762,0.49316406,0.50683594
