timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success
2048,85.00129449348219,1.0,14.138211,69.0,14.521822,-1.0,0.2195122,1.0,0.97560984,0.20182584,0.038247906,0.12821914,-0.009802881,1.6058782,0.3902439,0.6097561
4096,3936.2147769102357,1.0,16.32766,85.0,16.152962,-1.0,0.14042553,1.0,0.99009126,0.12136706,0.026424611,0.1271699,-0.021225823,1.5934523,0.42978725,0.5702128
6144,4252.333401318382,1.0,16.353933,92.0,15.677348,-1.0,0.084269665,1.0,0.99644303,0.072439216,0.025563756,0.1372634,-0.027355397,1.5712543,0.45786518,0.5421348
8192,4134.0892142283055,1.0,16.70339,100.0,15.859317,-1.0,0.086864404,1.0,0.9951563,0.0814326,0.017108824,0.12920797,-0.032003265,1.5491899,0.45762712,0.5423729
10240,4193.17585551934,1.0,17.317543,100.0,16.716393,-1.0,0.13508771,1.0,0.9881741,0.122196265,0.006794532,0.11279491,-0.034275077,1.5327845,0.4350877,0.56491226
12288,4565.219138564757,1.0,17.674591,100.0,17.491655,-1.0,0.14561664,1.0,0.98557925,0.13229656,0.0038976052,0.11293558,-0.03747777,1.5092419,0.4309064,0.5690936
14336,4170.70125219097,1.0,17.751585,100.0,17.976583,-1.0,0.1634981,1.0,0.9813914,0.15035816,0.0062806862,0.11792362,-0.037710514,1.4970602,0.42332065,0.57667935
16384,4029.7644666831175,1.0,17.58261,100.0,17.878263,-1.0,0.19347826,1.0,0.97666293,0.17990446,0.004631001,0.12389904,-0.042884886,1.4433638,0.4076087,0.5923913
18432,3852.005879846995,1.0,17.406698,100.0,17.745089,-1.0,0.2277512,1.0,0.9692868,0.20993298,0.0036694256,0.11202452,-0.038045682,1.4297146,0.39043063,0.6095694
20480,4084.3554643053617,1.0,16.94398,100.0,17.29914,-1.0,0.2700669,1.0,0.95892584,0.24948134,0.0046440926,0.12542114,-0.04389983,1.4166641,0.36872908,0.6312709
22528,4369.066666666667,1.0,16.776018,100.0,17.121658,-1.0,0.2993967,1.0,0.9505652,0.27499264,-0.01099287,0.09865641,-0.046481423,1.3839656,0.35369533,0.64630467
24576,4067.7778360772495,1.0,16.677618,100.0,17.288216,-1.0,0.321013,1.0,0.94345427,0.2957827,-0.008077825,0.09636535,-0.042751122,1.3509377,0.3429158,0.65708417
26624,4328.598340808915,1.0,16.53558,100.0,17.155025,-1.0,0.34769037,1.0,0.93394053,0.31975332,-0.0019159733,0.11049825,-0.04358998,1.3575125,0.32958803,0.670412
28672,4049.1991301933494,1.0,16.220957,100.0,16.880093,-1.0,0.37756264,1.0,0.9225954,0.34656873,-0.010071588,0.09865542,-0.046166096,1.3233196,0.31435078,0.6856492
30720,3854.8667915730803,1.0,15.951232,100.0,16.617516,-1.0,0.39748296,1.0,0.9144611,0.36523038,0.00045391786,0.103134446,-0.03789046,1.3222846,0.30414262,0.69585735
