timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success
2048,84.37927935990785,1.0,14.872,90.0,15.001854,-1.0,0.152,1.0,0.9883803,0.14808705,0.04289767,0.13456064,-0.008334035,1.6048607,0.424,0.576
4096,4279.874319213294,1.0,15.428016,90.0,14.637104,-1.0,0.105058365,1.0,0.994466,0.09686882,0.032472804,0.14007364,-0.021715937,1.5848085,0.4474708,0.55252916
6144,4177.613942734642,1.0,14.887468,90.0,13.923894,-1.0,0.15089513,1.0,0.98854977,0.13888815,0.025464088,0.13489924,-0.026304243,1.5681291,0.42455244,0.57544756
8192,4122.177962352088,1.0,14.80734,98.0,14.3356085,-1.0,0.15229358,1.0,0.9883353,0.14589219,0.03857478,0.17447202,-0.03335146,1.5309762,0.42385322,0.5761468
10240,4023.607180530652,1.0,14.378378,98.0,13.890413,-1.0,0.16073969,1.0,0.9869969,0.15604071,0.032277558,0.16780703,-0.03639973,1.522623,0.41963017,0.58036983
12288,4036.1776739880697,1.0,14.435867,100.0,14.542061,-1.0,0.19714965,1.0,0.9791612,0.19033948,0.012993111,0.12726428,-0.035762675,1.4876355,0.40261284,0.5973872
14336,4099.7730035289815,1.0,13.951629,100.0,13.999035,-1.0,0.2497532,1.0,0.96728945,0.23788823,0.008296843,0.13437939,-0.0444102,1.4482663,0.37611055,0.62388945
16384,4347.18569051446,1.0,13.741277,100.0,13.986722,-1.0,0.29446808,1.0,0.95432454,0.2780754,0.002614254,0.11049654,-0.038401395,1.423262,0.35404256,0.64595747
18432,4281.890402710123,1.0,13.396032,100.0,13.844405,-1.0,0.33504775,1.0,0.9410307,0.31619564,-0.0001570953,0.109783486,-0.041280556,1.3768289,0.33357826,0.6664218
20480,3769.9805407834683,1.0,13.121036,100.0,13.7623,-1.0,0.37540454,1.0,0.925813,0.35521,-0.0063876063,0.10498897,-0.04561147,1.327062,0.3132686,0.6867314
22528,3720.2967736682403,1.0,12.749714,100.0,13.542594,-1.0,0.42096218,1.0,0.9061306,0.39716107,-0.013392478,0.08590809,-0.043715525,1.2631,0.290378,0.70962197
24576,4406.873231401596,1.0,12.483606,100.0,13.512318,-1.0,0.4574795,1.0,0.8883556,0.43088645,-0.013003004,0.082276486,-0.0416451,1.2496156,0.27202868,0.7279713
26624,4191.340591222612,1.0,11.862793,100.0,13.105015,-1.0,0.5229492,1.0,0.851504,0.49277937,-0.010940899,0.06949317,-0.0337555,1.1931981,0.23925781,0.7607422
28672,4067.3656490125554,1.0,11.130859,100.0,12.763644,-1.0,0.6118164,1.0,0.7900733,0.5772984,-0.019657155,0.058234215,-0.03703509,1.1739181,0.19482422,0.8051758
30720,4057.1110466670507,1.0,10.354492,100.0,12.126663,-1.0,0.69384766,1.0,0.719104,0.65466726,-0.009360712,0.07573726,-0.035678815,1.1550523,0.1538086,0.8461914
32768,4198.676938432459,1.0,9.510742,100.0,11.418524,-1.0,0.76123047,1.0,0.6481048,0.7190863,-0.011498418,0.06613736,-0.03358538,1.0981712,0.119628906,0.8803711
34816,3904.8014841086097,1.0,8.77002,99.0,10.581545,-1.0,0.81347656,1.0,0.5815977,0.7703426,-0.022626167,0.048465636,-0.03616575,1.0693237,0.09326172,0.9067383
36864,4232.764702317099,1.0,7.913086,99.0,9.7501135,-1.0,0.86328125,1.0,0.5047232,0.8190032,-0.013893837,0.06218071,-0.035181962,0.980223,0.068359375,0.9316406
38912,4302.4190858567035,1.0,7.1694336,99.0,8.727544,-1.0,0.8964844,1.0,0.44307536,0.8543726,-0.019645642,0.0349224,-0.02747256,0.9634283,0.051757812,0.9482422
40960,4518.525882565827,1.0,6.6904297,99.0,8.137663,-1.0,0.9140625,1.0,0.40557337,0.87294436,-0.025730643,0.025637776,-0.029034806,0.95147246,0.04296875,0.95703125
43008,3932.8825327406953,1.0,6.1655273,99.0,7.559428,-1.0,0.9326172,1.0,0.36086726,0.89244163,-0.010905246,0.050490577,-0.027130766,0.90197706,0.033691406,0.9663086
45056,4069.5970793430606,1.0,5.873047,75.0,7.0435653,-1.0,0.9501953,1.0,0.31165504,0.9098766,-0.023548428,0.019612204,-0.02452889,0.88256377,0.024902344,0.97509766
47104,3987.9231360263548,1.0,5.7749023,98.0,7.1194205,-1.0,0.9580078,1.0,0.2867421,0.91772443,-0.026635513,0.0125486255,-0.024314864,0.8594966,0.020996094,0.9790039
49152,3960.5941360628904,1.0,5.710449,98.0,7.243643,-1.0,0.96777344,1.0,0.2518225,0.9270216,-0.027837366,0.0144883115,-0.027224256,0.785727,0.016113281,0.9838867
51200,4416.482392548582,1.0,5.4155273,98.0,6.713639,-1.0,0.9707031,1.0,0.24028201,0.93196046,-0.021905418,0.013432369,-0.021234812,0.73867893,0.0146484375,0.98535156
53248,4276.318272015739,1.0,5.179199,98.0,6.2302513,-1.0,0.9863281,1.0,0.1647933,0.9481809,-0.027481792,0.006653625,-0.02406971,0.6738896,0.0068359375,0.99316406
55296,3766.971604536012,1.0,4.755371,98.0,5.3069105,-1.0,0.9873047,1.0,0.15883783,0.9525173,-0.023366032,0.00909404,-0.021590693,0.63223594,0.0063476562,0.99365234
57344,4169.023189943405,1.0,4.3554688,46.0,3.887531,-1.0,0.9873047,1.0,0.15883783,0.95588785,-0.018007038,0.016628947,-0.020666486,0.5655028,0.0063476562,0.99365234
59392,4056.7891483133735,1.0,4.0214844,30.0,3.1257071,-1.0,0.9873047,1.0,0.15883783,0.9585564,-0.013288155,0.014417082,-0.015331444,0.51652545,0.0063476562,0.99365234
61440,4135.777099657099,1.0,3.918457,27.0,3.0020652,-1.0,0.9902344,1.0,0.13941264,0.9622954,-0.031001508,0.0007691497,-0.026287897,0.5098192,0.0048828125,0.9951172
63488,4216.593473115207,1.0,3.78125,27.0,2.756916,-1.0,0.9902344,1.0,0.13941264,0.96361524,-0.013949217,0.008255578,-0.013662212,0.44147953,0.0048828125,0.9951172
65536,4342.678129267194,1.0,3.6884766,46.0,2.792922,-1.0,0.9892578,1.0,0.14618133,0.9637461,-0.009196525,0.021018889,-0.015484578,0.42213908,0.0053710938,0.9946289
67584,4376.046689054808,1.0,3.6669922,46.0,2.876773,-1.0,0.99121094,1.0,0.13229088,0.966038,-0.011071306,0.010681528,-0.01221096,0.42011133,0.0043945312,0.99560547
69632,4246.85048006091,1.0,3.5668945,46.0,2.7123518,-1.0,0.9921875,1.0,0.12475562,0.9678658,-0.023795843,0.00040473146,-0.020549735,0.34484693,0.00390625,0.99609375
71680,3883.786893769707,1.0,3.5273438,46.0,2.6566608,-1.0,0.99609375,1.0,0.08830199,0.97187996,-0.028471718,0.0004981645,-0.025334684,0.33861113,0.001953125,0.9980469
73728,3870.546400950206,1.0,3.4526367,30.0,2.419546,-1.0,0.99609375,1.0,0.08830199,0.97237945,-0.01582576,0.009412316,-0.017318519,0.3213398,0.001953125,0.9980469
75776,3999.060791773511,1.0,3.331543,30.0,2.2209368,-1.0,0.9941406,1.0,0.10809448,0.97160345,-0.014509896,0.013939463,-0.01867135,0.28082797,0.0029296875,0.9970703
77824,4369.360019695333,1.0,3.2895508,30.0,2.1372917,-1.0,0.9921875,1.0,0.12475562,0.97010314,-0.01235929,0.005880737,-0.012872869,0.24267904,0.00390625,0.99609375
79872,4227.687871217446,1.0,3.2021484,21.0,1.8792022,-1.0,0.99316406,1.0,0.11672679,0.9718991,-0.014882688,0.0039348216,-0.014524393,0.23257051,0.0034179688,0.99658203
81920,4233.02543481239,1.0,3.1811523,36.0,1.976892,-1.0,0.9921875,1.0,0.12475562,0.971081,-0.011551831,0.012767046,-0.015393955,0.2541398,0.00390625,0.99609375
